Quantile,Sigma_Model,Sigma_Train,MinMatchCount,Sum TP,Sum FP,Relationship
0.035,2.0,0.3,13.0,97.0,55.0,42.0
0.025,4.0,0.2,14.0,71.0,29.0,42.0
0.035,3.0,0.4,10.0,97.0,55.0,42.0
0.025,4.0,0.2,12.0,79.0,37.0,42.0
0.025,3.0,0.3,11.0,95.0,54.0,41.0
0.035,2.0,0.4,13.0,95.0,54.0,41.0
0.035,4.0,0.2,14.0,63.0,22.0,41.0
0.025,4.0,0.3,15.0,65.0,24.0,41.0
0.035,2.0,0.3,12.0,100.0,61.0,39.0
0.025,3.0,0.3,10.0,101.0,63.0,38.0
0.025,2.0,0.4,15.0,90.0,52.0,38.0
0.025,3.0,0.2,11.0,100.0,62.0,38.0
0.025,3.0,0.4,10.0,102.0,65.0,37.0
0.015,3.0,0.3,11.0,122.0,85.0,37.0
0.025,2.0,0.3,15.0,88.0,52.0,36.0
0.035,4.0,0.2,15.0,56.0,20.0,36.0
0.025,2.0,0.2,15.0,90.0,54.0,36.0
0.035,2.0,0.2,11.0,103.0,68.0,35.0
0.015,3.0,0.2,11.0,116.0,82.0,34.0
0.035,2.0,0.4,12.0,97.0,63.0,34.0
0.025,2.0,0.3,14.0,94.0,61.0,33.0
0.015,3.0,0.4,12.0,107.0,74.0,33.0
0.025,2.0,0.2,14.0,95.0,62.0,33.0
0.025,3.0,0.2,10.0,105.0,73.0,32.0
0.035,2.0,0.3,11.0,100.0,71.0,29.0
0.025,2.0,0.3,13.0,101.0,73.0,28.0
0.025,2.0,0.4,14.0,96.0,68.0,28.0
0.025,2.0,0.2,13.0,100.0,73.0,27.0
0.035,2.0,0.2,10.0,110.0,84.0,26.0
0.015,3.0,0.4,11.0,117.0,92.0,25.0
0.015,3.0,0.2,10.0,130.0,107.0,23.0
0.025,2.0,0.4,13.0,100.0,78.0,22.0
0.035,2.0,0.4,11.0,101.0,82.0,19.0
0.015,3.0,0.3,10.0,130.0,111.0,19.0
0.015,2.0,0.2,15.0,108.0,92.0,16.0
0.025,2.0,0.4,12.0,105.0,91.0,14.0
0.025,2.0,0.3,12.0,104.0,92.0,12.0
0.025,2.0,0.2,12.0,106.0,94.0,12.0
0.015,3.0,0.4,10.0,128.0,116.0,12.0
0.035,2.0,0.4,10.0,104.0,97.0,7.0
0.015,2.0,0.4,15.0,105.0,98.0,7.0
0.035,2.0,0.3,10.0,101.0,95.0,6.0
0.015,2.0,0.2,14.0,116.0,113.0,3.0
0.015,2.0,0.3,15.0,105.0,104.0,1.0
0.025,2.0,0.3,11.0,106.0,105.0,1.0
0.025,2.0,0.4,11.0,113.0,115.0,-2.0
0.025,2.0,0.2,11.0,111.0,117.0,-6.0
0.015,2.0,0.4,14.0,108.0,120.0,-12.0
0.015,2.0,0.3,14.0,113.0,126.0,-13.0
0.025,2.0,0.3,10.0,112.0,135.0,-23.0
0.015,2.0,0.2,13.0,117.0,142.0,-25.0
0.025,2.0,0.4,10.0,114.0,140.0,-26.0
0.015,2.0,0.3,13.0,118.0,156.0,-38.0
0.025,2.0,0.2,10.0,117.0,160.0,-43.0
0.015,2.0,0.4,13.0,112.0,159.0,-47.0
0.015,2.0,0.2,12.0,125.0,182.0,-57.0
0.015,2.0,0.3,12.0,128.0,192.0,-64.0
0.015,2.0,0.4,12.0,116.0,199.0,-83.0
0.015,2.0,0.2,11.0,129.0,222.0,-93.0
0.015,2.0,0.3,11.0,133.0,227.0,-94.0
0.015,2.0,0.4,11.0,126.0,233.0,-107.0
0.015,2.0,0.2,10.0,137.0,274.0,-137.0
0.015,2.0,0.4,10.0,137.0,279.0,-142.0
0.015,2.0,0.3,10.0,138.0,284.0,-146.0
