Quantile,Sigma_Model,Sigma_Train,MinMatchCount,Sum TP,Sum FP,Relationship
0.035,3.0,0.4,13.0,89.0,26.0,63.0
0.035,3.0,0.3,13.0,87.0,25.0,62.0
0.035,3.0,0.3,12.0,95.0,34.0,61.0
0.035,3.0,0.4,14.0,85.0,25.0,60.0
0.035,3.0,0.3,14.0,83.0,24.0,59.0
0.03,3.0,0.4,12.0,89.0,31.0,58.0
0.03,3.0,0.4,13.0,83.0,25.0,58.0
0.03,3.0,0.35,14.0,85.0,28.0,57.0
0.035,3.0,0.4,12.0,91.0,34.0,57.0
0.035,3.0,0.2,13.0,83.0,26.0,57.0
0.035,3.0,0.25,13.0,83.0,26.0,57.0
0.035,3.0,0.35,12.0,89.0,33.0,56.0
0.03,3.0,0.4,14.0,79.0,23.0,56.0
0.035,3.0,0.2,14.0,79.0,24.0,55.0
0.035,3.0,0.25,14.0,79.0,24.0,55.0
0.035,3.0,0.25,12.0,87.0,32.0,55.0
0.035,3.0,0.2,12.0,87.0,32.0,55.0
0.035,3.0,0.35,14.0,79.0,27.0,52.0
0.035,3.0,0.35,13.0,81.0,29.0,52.0
0.03,3.0,0.35,13.0,87.0,36.0,51.0
0.03,3.0,0.35,12.0,91.0,41.0,50.0
0.03,3.0,0.3,14.0,76.0,30.0,46.0
0.03,3.0,0.3,13.0,83.0,38.0,45.0
0.03,3.0,0.2,14.0,79.0,34.0,45.0
0.03,3.0,0.25,14.0,79.0,34.0,45.0
0.03,3.0,0.2,13.0,81.0,38.0,43.0
0.03,3.0,0.25,13.0,81.0,38.0,43.0
0.03,3.0,0.3,12.0,89.0,46.0,43.0
0.03,3.0,0.2,12.0,86.0,44.0,42.0
0.03,3.0,0.25,12.0,86.0,44.0,42.0
