Scenes,Models,Quantile,Sigma_Model,Sigma_Train,MinMatchCount,Match,TP,FP
scenes/h1.jpg,models/0.jpg,0.03,3.0,0.2,12,17,1,0
scenes/h1.jpg,models/1.jpg,0.03,3.0,0.2,12,22,0,1
scenes/h1.jpg,models/2.jpg,0.03,3.0,0.2,12,18,1,0
scenes/h1.jpg,models/2.jpg,0.03,3.0,0.2,12,25,1,0
scenes/h1.jpg,models/3.jpg,0.03,3.0,0.2,12,33,1,0
scenes/h1.jpg,models/3.jpg,0.03,3.0,0.2,12,22,1,0
scenes/h1.jpg,models/4.jpg,0.03,3.0,0.2,12,34,1,0
scenes/h1.jpg,models/4.jpg,0.03,3.0,0.2,12,18,1,0
scenes/h1.jpg,models/5.jpg,0.03,3.0,0.2,12,16,1,0
scenes/h1.jpg,models/7.jpg,0.03,3.0,0.2,12,34,1,0
scenes/h1.jpg,models/7.jpg,0.03,3.0,0.2,12,26,1,0
scenes/h1.jpg,models/7.jpg,0.03,3.0,0.2,12,22,0,1
scenes/h1.jpg,models/7.jpg,0.03,3.0,0.2,12,19,0,1
scenes/h1.jpg,models/9.jpg,0.03,3.0,0.2,12,15,0,1
scenes/h1.jpg,models/10.jpg,0.03,3.0,0.2,12,15,1,0
scenes/h1.jpg,models/14.jpg,0.03,3.0,0.2,12,30,1,0
scenes/h1.jpg,models/14.jpg,0.03,3.0,0.2,12,27,1,0
scenes/h1.jpg,models/15.jpg,0.03,3.0,0.2,12,30,1,0
scenes/h1.jpg,models/18.jpg,0.03,3.0,0.2,12,39,1,0
scenes/h1.jpg,models/18.jpg,0.03,3.0,0.2,12,16,0,1
scenes/h1.jpg,models/19.jpg,0.03,3.0,0.2,12,37,1,0
scenes/h1.jpg,models/22.jpg,0.03,3.0,0.2,12,25,0,1
scenes/h1.jpg,models/22.jpg,0.03,3.0,0.2,12,14,0,1
scenes/h1.jpg,models/23.jpg,0.03,3.0,0.2,12,15,0,1
scenes/h1.jpg,models/0.jpg,0.03,3.0,0.2,13,17,1,0
scenes/h1.jpg,models/1.jpg,0.03,3.0,0.2,13,22,0,1
scenes/h1.jpg,models/2.jpg,0.03,3.0,0.2,13,18,1,0
scenes/h1.jpg,models/2.jpg,0.03,3.0,0.2,13,25,1,0
scenes/h1.jpg,models/3.jpg,0.03,3.0,0.2,13,33,1,0
scenes/h1.jpg,models/3.jpg,0.03,3.0,0.2,13,22,1,0
scenes/h1.jpg,models/4.jpg,0.03,3.0,0.2,13,34,1,0
scenes/h1.jpg,models/4.jpg,0.03,3.0,0.2,13,18,1,0
scenes/h1.jpg,models/5.jpg,0.03,3.0,0.2,13,16,1,0
scenes/h1.jpg,models/7.jpg,0.03,3.0,0.2,13,34,1,0
